GWAS	set_id	analysis_class	TF	condition	membership_rule	n_genes_HGNC	n_genes_mapped_to_entrez	size_status	included_in_MAGMA	exact_membership_group_within_class_condition	n_TFs_with_exact_membership	NGENES_MAGMA	post_MAGMA_size_status	BETA	BETA_STD	SE	P	Q_BH_within_condition_class	Q_BH_across_analysis_class	Q_BH_across_primary_signed
T2D_diamante2022	SCTF2353	unsigned_sensitivity	DBP	palmitate	empirical_p_condition<0.01; unsigned sensitivity	185	124	primary	True	unsigned_sensitivity|palmitate|D037	1	121	primary	-0.057119	-0.0046219	0.10182	0.71259	0.7922584472049689	0.8299899334221039	
T2D_diamante2022	SCTF2354	unsigned_sensitivity	EGR1	palmitate	empirical_p_condition<0.01; unsigned sensitivity	179	117	primary	True	unsigned_sensitivity|palmitate|D038	1	112	primary	-0.10486	-0.0081654	0.11271	0.8239	0.862445029239766	0.8915068153655513	
T2D_diamante2022	SCTF2355	unsigned_sensitivity	ELF1	palmitate	empirical_p_condition<0.01; unsigned sensitivity	100	58	primary	True	unsigned_sensitivity|palmitate|D039	1	56	primary	0.30454	0.016794	0.15212	0.022657	0.28968592857142855	0.39910362295081964	
T2D_diamante2022	SCTF2356	unsigned_sensitivity	ELF2	palmitate	empirical_p_condition<0.01; unsigned sensitivity	40	19	exploratory	True	unsigned_sensitivity|palmitate|D002	2	19	exploratory	0.078136	0.0025124	0.2681	0.38536	0.647193738317757	0.6949348282828284	
T2D_diamante2022	SCTF2357	unsigned_sensitivity	ELF3	palmitate	empirical_p_condition<0.01; unsigned sensitivity	96	69	primary	True	unsigned_sensitivity|palmitate|D040	1	67	primary	-0.19949	-0.01203	0.14335	0.91797	0.92022	0.9344774242424242	
T2D_diamante2022	SCTF2358	unsigned_sensitivity	ELF4	palmitate	empirical_p_condition<0.01; unsigned sensitivity	126	92	primary	True	unsigned_sensitivity|palmitate|D003	2	89	primary	0.18112	0.012581	0.11442	0.056723	0.3825120408163265	0.4646907102803738	
T2D_diamante2022	SCTF2359	unsigned_sensitivity	ELK1	palmitate	empirical_p_condition<0.01; unsigned sensitivity	110	89	primary	True	unsigned_sensitivity|palmitate|D041	1	86	primary	-0.071925	-0.0049113	0.13105	0.70844	0.7922584472049689	0.8299899334221039	
T2D_diamante2022	SCTF2360	unsigned_sensitivity	ELK3	palmitate	empirical_p_condition<0.01; unsigned sensitivity	127	59	primary	True	unsigned_sensitivity|palmitate|D042	1	56	primary	0.11403	0.0062885	0.15438	0.23007	0.5291056410256411	0.6036317717717719	
T2D_diamante2022	SCTF2361	unsigned_sensitivity	ELK4	palmitate	empirical_p_condition<0.01; unsigned sensitivity	100	70	primary	True	unsigned_sensitivity|palmitate|D004	2	65	primary	0.056947	0.0033825	0.14396	0.34621	0.6289165	0.6797645474613687	
T2D_diamante2022	SCTF2362	unsigned_sensitivity	ERF	palmitate	empirical_p_condition<0.01; unsigned sensitivity	84	63	primary	True	unsigned_sensitivity|palmitate|D005	2	62	primary	-0.057186	-0.0033177	0.14309	0.65529	0.7716901973684211	0.82062966954023	
