frozen_archetype	motif_family	candidate_TF	annotation_source	membership_evidence	motif_compatibility_level	SCbeta_baseline_expression_logCPM	SCbeta_dynamic_range	max_abs_logFC	DE_in_any_condition	n_dynamic_conditions	usable_for_candidate_TF_assignment
GATA	GATA	GATA3	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=242)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
GATA	GATA	GATA4	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=242)	exact Vierstra archetype cluster member gene	archetype_cluster_member	5.275	1.326	0.683	False	0	True
GATA	GATA	GATA5	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=242)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
GATA	GATA	GATA6	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=242)	exact Vierstra archetype cluster member gene	archetype_cluster_member	1.736	3.815	2.329	True	8	True
GATA	GATA	TAL1	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=242)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
GC-tract	GC-tract	KLF15	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=113)	exact Vierstra archetype cluster member gene	archetype_cluster_member	1.675	2.824	2.286	True	8	True
GC-tract	GC-tract	MAZ	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=113)	exact Vierstra archetype cluster member gene	archetype_cluster_member	3.318	3.508	2.019	True	10	True
GC-tract	GC-tract	TAF1	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=113)	exact Vierstra archetype cluster member gene	archetype_cluster_member	6.606	1.636	0.842	False	0	True
GC-tract	GC-tract	THAP1	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=113)	exact Vierstra archetype cluster member gene	archetype_cluster_member	1.958	2.568	1.407	True	4	True
GC-tract	GC-tract	ZN263	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=113)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
GC-tract	GC-tract	ZN341	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=113)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
GC-tract	GC-tract	ZN467	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=113)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
GC-tract	GC-tract	ZN770	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=113)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
GC-tract	GC-tract	ZNF263	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=113)	exact Vierstra archetype cluster member gene	archetype_cluster_member	2.863	1.611	0.838	False	0	True
GC-tract	GC-tract	ZSC22	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=113)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
GFI	GFI	GFI1	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=181)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
GFI	GFI	GFI1B	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=181)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
GMEB2/2	GMEB2	GMEB1	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=277)	exact Vierstra archetype cluster member gene	archetype_cluster_member	4.932	3.311	1.695	True	8	True
GMEB2/2	GMEB2	GMEB2	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=277)	exact Vierstra archetype cluster member gene	archetype_cluster_member	3.932	1.861	1.026	True	1	True
HAND1	HAND1	HAND1	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=148)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
HAND1	HAND1	HAND1+TCF3	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=148)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
HD/10	HD	HNF1A	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=10)	exact Vierstra archetype cluster member gene	archetype_cluster_member	4.646	2.142	1.449	True	4	True
HD/10	HD	HNF1B	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=10)	exact Vierstra archetype cluster member gene	archetype_cluster_member	3.652	2.094	1.325	True	2	True
HD/11	HD	MEOX2	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=11)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
HD/18	HD	ARID3A	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=24)	exact Vierstra archetype cluster member gene	archetype_cluster_member	7.711	3.715	1.943	True	10	True
HD/18	HD	CDX1	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=24)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
HD/18	HD	CDX2	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=24)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
HD/18	HD	HOXA10	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=24)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
HD/18	HD	HOXA11	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=24)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
HD/18	HD	HOXA13	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=24)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
HD/18	HD	HOXB13	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=24)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
HD/18	HD	HOXC10	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=24)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
HD/18	HD	HOXC11	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=24)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
HD/18	HD	HOXC12	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=24)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
HD/18	HD	HOXC13	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=24)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
HD/18	HD	HOXD11	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=24)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
HD/18	HD	HOXD12	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=24)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
HD/18	HD	HOXD13	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=24)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
HD/18	HD	HOXD9	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=24)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
HD/18	HD	HXB13	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=24)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
HD/18	HD	HXC9	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=24)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
HD/2	HD	ALX1	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=2)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
HD/2	HD	ALX3	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=2)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
HD/2	HD	ALX4	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=2)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
HD/2	HD	ARID3B	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=2)	exact Vierstra archetype cluster member gene	archetype_cluster_member	5.607	1.17	0.728	False	0	True
HD/2	HD	ARX	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=2)	exact Vierstra archetype cluster member gene	archetype_cluster_member	1.971	7.813	5.034	True	25	True
HD/2	HD	BARX1	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=2)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
HD/2	HD	BSX	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=2)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
