TF	condition	database	n_query_genes	n_positive_rho_genes	n_negative_rho_genes	n_background_genes	n_pathways_tested	query_status	n_pathways_with_overlap	n_pathways_FDR_lt_0.05	minimum_P	minimum_BH_FDR
BHLHE41	dex	Hallmark	199	130	68	20749	50	testable	30	0	0.012007722159473388	0.6003861079736694
BHLHE41	dex	Reactome	199	130	68	20749	1816	testable	347	0	0.0015876142729223538	1.0
BHLHE41	palmitate	GO_BP	160	98	57	20749	5392	testable	776	0	0.000350974196324754	1.0
BHLHE41	palmitate	Hallmark	160	98	57	20749	50	testable	35	0	0.04526464089578737	1.0
BHLHE41	palmitate	Reactome	160	98	57	20749	1816	testable	308	0	0.0037071690052666965	1.0
BMAL1	3-cyt	GO_BP	59	27	31	20749	5392	testable	485	0	0.000515104903427561	1.0
BMAL1	3-cyt	Hallmark	59	27	31	20749	50	testable	17	0	0.10087670060492453	1.0
BMAL1	3-cyt	Reactome	59	27	31	20749	1816	testable	231	0	0.0024724320445344704	1.0
BMAL1	Ex-4_HG	GO_BP	196	120	72	20749	5392	testable	970	0	0.00011058486416021845	0.5962735875518979
BMAL1	Ex-4_HG	Hallmark	196	120	72	20749	50	testable	29	0	0.013066087371189927	0.6533043685594964
BMAL1	Ex-4_HG	Reactome	196	120	72	20749	1816	testable	562	0	0.0024965882618118306	1.0
BMAL1	IFNg	GO_BP	144	113	29	20749	5392	testable	608	0	5.834581507055377e-05	0.31460063486042594
BMAL1	IFNg	Hallmark	144	113	29	20749	50	testable	27	0	0.050616561776306974	1.0
BMAL1	IFNg	Reactome	144	113	29	20749	1816	testable	350	0	0.0008675187845824184	0.5513468383736142
BMAL1	dex	GO_BP	202	143	58	20749	5392	testable	932	0	0.0013787263546525042	1.0
BMAL1	dex	Hallmark	202	143	58	20749	50	testable	34	0	0.01298812448532399	0.3042816935578237
BMAL1	dex	Reactome	202	143	58	20749	1816	testable	461	0	0.0024538316461115354	1.0
BMAL1	palmitate	GO_BP	170	27	138	20749	5392	testable	739	0	0.00246104861873905	1.0
BMAL1	palmitate	Hallmark	170	27	138	20749	50	testable	32	0	0.008900400197185509	0.4450200098592754
BMAL1	palmitate	Reactome	170	27	138	20749	1816	testable	405	0	0.0018089976342796487	1.0
CEBPB	3-cyt	GO_BP	61	26	34	20749	5392	testable	413	0	0.000459683673362028	1.0
CEBPB	3-cyt	Hallmark	61	26	34	20749	50	testable	21	0	0.03004772718687885	0.6936163355645363
CEBPB	3-cyt	Reactome	61	26	34	20749	1816	testable	158	0	0.004752435529491556	1.0
CEBPB	Ex-4_HG	GO_BP	175	88	83	20749	5392	testable	887	0	0.00019353933972060208	1.0
CEBPB	Ex-4_HG	Hallmark	175	88	83	20749	50	testable	36	0	0.002255712215152847	0.10534221278845679
CEBPB	Ex-4_HG	Reactome	175	88	83	20749	1816	testable	495	0	5.385093119956101e-05	0.0977932910584028
CEBPB	IFNg	GO_BP	162	78	82	20749	5392	testable	785	0	0.00010312919993601332	0.5560726460549839
CEBPB	IFNg	Hallmark	162	78	82	20749	50	testable	31	2	4.289145146047146e-06	0.00013435965479831514
CEBPB	IFNg	Reactome	162	78	82	20749	1816	testable	410	0	0.004290355928434114	1.0
CEBPB	dex	GO_BP	118	71	46	20749	5392	testable	491	0	0.0006610154394057306	1.0
CEBPB	dex	Hallmark	118	71	46	20749	50	testable	25	0	0.02492699488598684	0.6492623873446015
CEBPB	dex	Reactome	118	71	46	20749	1816	testable	347	0	0.0028706521537695323	1.0
CEBPB	palmitate	GO_BP	106	82	19	20749	5392	testable	393	0	0.0007095214037501524	1.0
CEBPB	palmitate	Hallmark	106	82	19	20749	50	testable	22	0	0.14804805950594185	1.0
CEBPB	palmitate	Reactome	106	82	19	20749	1816	testable	146	0	0.010191506229337163	1.0
CEBPD	3-cyt	GO_BP	209	121	87	20749	5392	testable	845	0	0.002051100293280668	1.0
CEBPD	3-cyt	Hallmark	209	121	87	20749	50	testable	33	0	0.0018709119257951372	0.09354559628975687
CEBPD	3-cyt	Reactome	209	121	87	20749	1816	testable	386	0	0.0027166827709630714	1.0
CEBPD	Ex-4_HG	GO_BP	44	11	29	20749	5392	testable	254	0	0.00015672787503465864	0.8450767021868794
CEBPD	Ex-4_HG	Hallmark	44	11	29	20749	50	testable	13	0	0.0032526237094943856	0.16263118547471928
CEBPD	Ex-4_HG	Reactome	44	11	29	20749	1816	testable	122	0	0.004106138639864934	1.0
CEBPD	IFNg	GO_BP	123	82	39	20749	5392	testable	574	0	0.0003301174583426338	1.0
CEBPD	IFNg	Hallmark	123	82	39	20749	50	testable	26	0	0.0036355234273129926	0.18177617136564964
CEBPD	IFNg	Reactome	123	82	39	20749	1816	testable	434	0	0.0059279965300536915	1.0
CEBPD	dex	GO_BP	133	85	47	20749	5392	testable	780	0	0.0002710009940356332	1.0
CEBPD	dex	Hallmark	133	85	47	20749	50	testable	32	0	0.010916302620942678	0.46152158074981464
CEBPD	dex	Reactome	133	85	47	20749	1816	testable	439	0	0.0021595312886639392	1.0
